PROV1;Province0001;Province0001;Province0001;;Province0001;;;;;;;;;x
PROV2;Province0002;Province0002;Province0002;;Province0002;;;;;;;;;x
PROV3;Province0003;Province0003;Province0003;;Province0003;;;;;;;;;x
PROV4;Province0004;Province0004;Province0004;;Province0004;;;;;;;;;x
PROV5;Orknae;Orknae;Orknae;;Orknae;;;;;;;;;x
PROV6;Shaetland;Shaetland;Shaetland;;Shaetland;;;;;;;;;x
PROV7;Province0007;Province0007;Province0007;;Province0007;;;;;;;;;x
PROV8;Province0008;Province0008;Province0008;;Province0008;;;;;;;;;x
PROV9;Province0009;Province0009;Province0009;;Province0009;;;;;;;;;x
PROV10;Province0010;Province0010;Province0010;;Province0010;;;;;;;;;x
PROV11;Larsen;Larsen;Larsen;;Larsen;;;;;;;;;x
PROV12;Province0012;Province0012;Province0012;;Province0012;;;;;;;;;x
PROV13;Province0013;Province0013;Province0013;;Province0013;;;;;;;;;x
PROV14;Goatland;Goatland;Goatland;;Goatland;;;;;;;;;x
PROV15;Province0015;Province0015;Province0015;;Province0015;;;;;;;;;x
PROV16;Province0016;Province0016;Province0016;;Province0016;;;;;;;;;x
PROV17;Province0017;Province0017;Province0017;;Province0017;;;;;;;;;x
PROV18;Province0018;Province0018;Province0018;;Province0018;;;;;;;;;x
PROV19;Cobae;Cobae;Cobae;;Cobae;;;;;;;;;x
PROV20;Province0020;Province0020;Province0020;;Province0020;;;;;;;;;x
PROV21;Province0021;Province0021;Province0021;;Province0021;;;;;;;;;x
PROV22;Province0022;Province0022;Province0022;;Province0022;;;;;;;;;x
PROV23;Province0023;Province0023;Province0023;;Province0023;;;;;;;;;x
PROV24;Inverbend;Inverbend;Inverbend;;Inverbend;;;;;;;;;x
PROV25;Faeroe;Faeroe;Faeroe;;Faeroe;;;;;;;;;x
PROV26;Province0026;Province0026;Province0026;;Province0026;;;;;;;;;x
PROV27;Far Ellswaere;Far Ellswaere;Far Ellswaere;;Far Ellswaere;;;;;;;;;x
PROV28;Province0028;Province0028;Province0028;;Province0028;;;;;;;;;x
PROV29;Province0029;Province0029;Province0029;;Province0029;;;;;;;;;x
PROV30;Waeddel;Waeddel;Waeddel;;Waeddel;;;;;;;;;x
PROV31;Vestfjord;Vestfjord;Vestfjord;;Vestfjord;;;;;;;;;x
PROV32;Province0032;Province0032;Province0032;;Province0032;;;;;;;;;x
PROV33;Province0033;Province0033;Province0033;;Province0033;;;;;;;;;x
PROV34;Province0034;Province0034;Province0034;;Province0034;;;;;;;;;x
PROV35;Ostfjord;Ostfjord;Ostfjord;;Ostfjord;;;;;;;;;x
PROV36;Province0036;Province0036;Province0036;;Province0036;;;;;;;;;x
PROV37;Province0037;Province0037;Province0037;;Province0037;;;;;;;;;x
PROV38;Manna;Manna;Manna;;Manna;;;;;;;;;x
PROV39;Norrbaer;Norrbaer;Norrbaer;;Norrbaer;;;;;;;;;x
PROV40;Province0040;Province0040;Province0040;;Province0040;;;;;;;;;x
PROV41;Mittenbaer;Mittenbaer;Mittenbaer;;Mittenbaer;;;;;;;;;x
PROV42;Province0042;Province0042;Province0042;;Province0042;;;;;;;;;x
PROV43;Province0043;Province0043;Province0043;;Province0043;;;;;;;;;x
PROV44;Province0044;Province0044;Province0044;;Province0044;;;;;;;;;x
PROV45;Province0045;Province0045;Province0045;;Province0045;;;;;;;;;x
PROV46;Province0046;Province0046;Province0046;;Province0046;;;;;;;;;x
PROV47;Province0047;Province0047;Province0047;;Province0047;;;;;;;;;x
PROV48;Naersid;Naersid;Naersid;;Naersid;;;;;;;;;x
PROV49;Soderbaer;Soderbaer;Soderbaer;;Soderbaer;;;;;;;;;x
PROV50;Province0050;Province0050;Province0050;;Province0050;;;;;;;;;x
PROV51;Province0051;Province0051;Province0051;;Province0051;;;;;;;;;x
PROV52;Makria;Makria;Makria;;Makria;;;;;;;;;x
PROV53;Province0053;Province0053;Province0053;;Province0053;;;;;;;;;x
PROV54;Province0054;Province0054;Province0054;;Province0054;;;;;;;;;x
PROV55;Province0055;Province0055;Province0055;;Province0055;;;;;;;;;x
PROV56;Province0056;Province0056;Province0056;;Province0056;;;;;;;;;x
PROV57;Mescher;Mescher;Mescher;;Mescher;;;;;;;;;x
PROV58;Province0058;Province0058;Province0058;;Province0058;;;;;;;;;x
PROV59;Omeya;Omeya;Omeya;;Omeya;;;;;;;;;x
PROV60;Province0060;Province0060;Province0060;;Province0060;;;;;;;;;x
PROV61;Province0061;Province0061;Province0061;;Province0061;;;;;;;;;x
PROV62;Province0062;Province0062;Province0062;;Province0062;;;;;;;;;x
PROV63;Province0063;Province0063;Province0063;;Province0063;;;;;;;;;x
PROV64;Province0064;Province0064;Province0064;;Province0064;;;;;;;;;x
PROV65;Province0065;Province0065;Province0065;;Province0065;;;;;;;;;x
PROV66;Province0066;Province0066;Province0066;;Province0066;;;;;;;;;x
PROV67;Province0067;Province0067;Province0067;;Province0067;;;;;;;;;x
PROV68;Province0068;Province0068;Province0068;;Province0068;;;;;;;;;x
PROV69;Province0069;Province0069;Province0069;;Province0069;;;;;;;;;x
PROV70;Province0070;Province0070;Province0070;;Province0070;;;;;;;;;x
PROV71;Province0071;Province0071;Province0071;;Province0071;;;;;;;;;x
PROV72;Stoema;Stoema;Stoema;;Stoema;;;;;;;;;x
PROV73;Province0073;Province0073;Province0073;;Province0073;;;;;;;;;x
PROV74;Province0074;Province0074;Province0074;;Province0074;;;;;;;;;x
PROV75;Province0075;Province0075;Province0075;;Province0075;;;;;;;;;x
PROV76;Province0076;Province0076;Province0076;;Province0076;;;;;;;;;x
PROV77;Province0077;Province0077;Province0077;;Province0077;;;;;;;;;x
PROV78;Province0078;Province0078;Province0078;;Province0078;;;;;;;;;x
PROV79;Province0079;Province0079;Province0079;;Province0079;;;;;;;;;x
PROV80;Mittenmaede;Mittenmaede;Mittenmaede;;Mittenmaede;;;;;;;;;x
PROV81;Province0081;Province0081;Province0081;;Province0081;;;;;;;;;x
PROV82;Province0082;Province0082;Province0082;;Province0082;;;;;;;;;x
PROV83;Province0083;Province0083;Province0083;;Province0083;;;;;;;;;x
PROV84;Province0084;Province0084;Province0084;;Province0084;;;;;;;;;x
PROV85;Province0085;Province0085;Province0085;;Province0085;;;;;;;;;x
PROV86;Province0086;Province0086;Province0086;;Province0086;;;;;;;;;x
PROV87;Province0087;Province0087;Province0087;;Province0087;;;;;;;;;x
PROV88;Province0088;Province0088;Province0088;;Province0088;;;;;;;;;x
PROV89;Province0089;Province0089;Province0089;;Province0089;;;;;;;;;x
PROV90;Province0090;Province0090;Province0090;;Province0090;;;;;;;;;x
PROV91;Province0091;Province0091;Province0091;;Province0091;;;;;;;;;x
PROV92;Province0092;Province0092;Province0092;;Province0092;;;;;;;;;x
PROV93;Province0093;Province0093;Province0093;;Province0093;;;;;;;;;x
PROV94;Ormo;Ormo;Ormo;;Ormo;;;;;;;;;x
PROV95;Province0095;Province0095;Province0095;;Province0095;;;;;;;;;x
